RK	TEAM	GP	W	L	ERA	SV	CG	SHO	IP	QS	ER	R	BB	SO	BAA
1	Chicago Cubs	162	103	58	3.15	38	5	15	1459.2	100	511	556	495	1441	.212
2	Washington	162	95	67	3.51	46	1	12	1459.2	92	570	612	468	1476	.234
3	NY Mets	162	87	75	3.58	55	1	13	1447.0	87	575	617	439	1396	.254
4	San Francisco	162	87	75	3.65	43	10	11	1460.1	85	593	631	439	1309	.243
5	LA Dodgers	162	91	71	3.70	47	3	15	1453.0	60	598	638	464	1510	.233
6	Toronto	162	89	73	3.78	43	0	10	1459.1	100	613	666	461	1314	.242
7	Cleveland	161	94	67	3.84	37	5	11	1445.0	81	617	676	461	1398	.243
8	Seattle	162	86	76	4.00	49	2	8	1457.0	74	647	707	460	1318	.253
9	Boston	162	93	69	4.00	43	9	5	1439.2	87	640	694	490	1362	.246
10	Miami	161	79	82	4.05	55	0	12	1435.0	63	646	682	595	1379	.251
11	Houston	162	84	78	4.06	44	2	8	1468.0	77	663	701	453	1396	.256
12	St. Louis	162	86	76	4.08	38	2	10	1448.1	83	656	712	475	1290	.258
13	Milwaukee	162	73	89	4.08	46	0	7	1434.1	62	650	733	532	1175	.263
14	Chicago Sox	162	78	84	4.10	43	7	10	1446.2	95	659	715	521	1270	.257
15	NY Yankees	162	84	78	4.16	48	0	10	1428.1	70	660	702	444	1393	.248
16	Tampa Bay	162	68	94	4.20	42	1	8	1426.1	74	665	713	491	1357	.255
17	Kansas City	162	81	81	4.21	41	3	7	1440.0	68	674	712	517	1287	.259
18	Pittsburgh	162	78	83	4.21	51	5	5	1450.2	68	679	758	533	1232	.267
19	Baltimore	162	89	73	4.22	54	1	9	1432.0	69	671	715	545	1248	.258
20	Detroit	161	86	75	4.24	47	3	8	1428.0	72	672	721	462	1232	.260
21	LA Angels	162	74	88	4.28	29	4	12	1421.1	64	676	727	498	1136	.269
22	Texas	162	95	67	4.37	56	1	6	1443.0	84	700	757	534	1154	.260
23	San Diego	162	68	94	4.43	35	1	9	1440.0	69	708	770	569	1222	.258
24	Atlanta	161	68	93	4.51	39	1	9	1447.2	64	725	779	547	1227	.256
25	Oakland	162	69	93	4.51	42	2	7	1433.1	69	718	761	464	1188	.263
26	Philadelphia	162	71	91	4.63	43	4	12	1437.0	79	739	796	466	1299	.265
27	Colorado	162	75	87	4.91	37	2	9	1429.1	78	779	860	547	1223	.274
28	Cincinnati	162	68	94	4.91	28	2	8	1442.0	67	786	854	636	1241	.263
29	Minnesota	162	59	103	5.08	26	4	3	1443.0	59	814	889	479	1191	.283
30	Arizona	162	69	93	5.09	31	2	7	1451.1	62	821	890	603	1318	.275
