ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
SEA03	20160527	0	Fri	MIN	AL	47	SEA	AL	47	7	2	54	MIN	"Safeco Field(Seattle, Washington)"	0.941	1.158	0.953	0.963	0.538	1.029
STP01	20160527	0	Fri	NYA	AL	47	TBA	AL	46	4	1	54	NYA	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160527	0	Fri	PIT	NL	47	TEX	AL	48	9	1	54	PIT	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
TOR02	20160527	0	Fri	BOS	AL	48	TOR	AL	50	5	7	51	TOR	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
PHO01	20160527	0	Fri	SDN	NL	49	ARI	NL	50	10	3	54	SDN	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160527	0	Fri	MIA	NL	48	ATL	NL	47	2	4	51	ATL	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160527	0	Fri	PHI	NL	48	CHN	NL	46	2	6	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
DEN02	20160527	0	Fri	SFN	NL	50	COL	NL	47	2	5	51	COL	"Coors Field(Denver, Colorado)"	1.368	1.265	1.231	1.405	1.39	1.078
MIL06	20160527	0	Fri	CIN	NL	48	MIL	NL	48	5	9	51	MIL	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
NYC20	20160527	0	Fri	LAN	NL	49	NYN	NL	47	5	6	51	NYN	"Citi Field(New York, New York)"	0.988	1.09	0.887	0.838	0.455	1.168
WAS11	20160527	0	Fri	SLN	NL	49	WAS	NL	49	6	2	54	SLN	"Nationals Park(Washington, D.C.)"	0.956	1.023	0.974	0.891	0.806	0.972
ANA01	20160528	0	Sat	HOU	AL	50	ANA	AL	49	4	2	54	HOU	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
CLE08	20160528	0	Sat	BAL	AL	47	CLE	AL	47	4	11	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
KAN06	20160528	0	Sat	CHA	AL	50	KCA	AL	48	7	8	53	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
OAK01	20160528	0	Sat	DET	AL	48	OAK	AL	50	3	12	51	OAK	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
SEA03	20160528	0	Sat	MIN	AL	48	SEA	AL	48	6	5	54	MIN	"Safeco Field(Seattle, Washington)"	0.941	1.158	0.953	0.963	0.538	1.029
STP01	20160528	0	Sat	NYA	AL	48	TBA	AL	47	5	9	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160528	0	Sat	PIT	NL	48	TEX	AL	49	2	5	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
TOR02	20160528	0	Sat	BOS	AL	49	TOR	AL	51	9	10	53	TOR	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
PHO01	20160528	0	Sat	SDN	NL	50	ARI	NL	51	7	8	51	ARI	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160528	0	Sat	MIA	NL	49	ATL	NL	48	2	7	51	ATL	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160528	0	Sat	PHI	NL	49	CHN	NL	47	1	4	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
DEN02	20160528	0	Sat	SFN	NL	51	COL	NL	48	10	5	54	SFN	"Coors Field(Denver, Colorado)"	1.368	1.265	1.231	1.405	1.39	1.078
MIL06	20160528	0	Sat	CIN	NL	49	MIL	NL	49	7	6	54	CIN	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
NYC20	20160528	0	Sat	LAN	NL	50	NYN	NL	48	9	1	54	LAN	"Citi Field(New York, New York)"	0.988	1.09	0.887	0.838	0.455	1.168
WAS11	20160528	0	Sat	SLN	NL	50	WAS	NL	50	9	4	54	SLN	"Nationals Park(Washington, D.C.)"	0.956	1.023	0.974	0.891	0.806	0.972
ANA01	20160529	0	Sun	HOU	AL	51	ANA	AL	50	8	6	78	HOU	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
CLE08	20160529	0	Sun	BAL	AL	48	CLE	AL	48	6	4	54	BAL	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
KAN06	20160529	0	Sun	CHA	AL	51	KCA	AL	49	4	5	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
OAK01	20160529	0	Sun	DET	AL	49	OAK	AL	51	2	4	51	OAK	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
SEA03	20160529	0	Sun	MIN	AL	49	SEA	AL	49	5	4	54	MIN	"Safeco Field(Seattle, Washington)"	0.941	1.158	0.953	0.963	0.538	1.029
STP01	20160529	0	Sun	NYA	AL	49	TBA	AL	48	2	1	54	NYA	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160529	0	Sun	PIT	NL	49	TEX	AL	50	2	6	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
TOR02	20160529	0	Sun	BOS	AL	50	TOR	AL	52	5	3	66	BOS	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
PHO01	20160529	0	Sun	SDN	NL	51	ARI	NL	52	3	6	51	ARI	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160529	0	Sun	MIA	NL	50	ATL	NL	49	7	3	54	MIA	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
