ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	Home/Away	PARK NAME	RUNS	HR	H	2B	3B	BB
KAN06	20150408	0	Wed	CHA	AL	2	KCA	AL	2	5	7	51	KCA	Home	"Kauffman Stadiumæ(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150408	0	Wed	TOR	AL	2	NYA	AL	2	3	4	51	NYA	Home	"Yankee Stadiumæ(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150408	0	Wed	TEX	AL	3	OAK	AL	3	0	10	51	OAK	Home	"Oakland Coliseumæ(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150408	0	Wed	ANA	AL	3	SEA	AL	3	5	3	54	ANA	Visit	"Safeco Fieldæ(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150408	0	Wed	BAL	AL	3	TBA	AL	3	0	2	51	TBA	Home	"Tropicana Fieldæ(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150408	0	Wed	SFN	NL	3	ARI	NL	3	5	2	54	SFN	Visit	"Chase Fieldæ(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CHI11	20150408	0	Wed	SLN	NL	2	CHN	NL	2	0	2	51	CHN	Home	"Wrigley Fieldæ(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150408	0	Wed	PIT	NL	2	CIN	NL	2	4	5	65	CIN	Home	"Great American Ball Parkæ(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150408	0	Wed	SDN	NL	3	LAN	NL	3	4	7	51	LAN	Home	"Dodger Stadiumæ(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150408	0	Wed	ATL	NL	3	MIA	NL	3	2	0	54	ATL	Visit	"Marlins Parkæ(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150408	0	Wed	COL	NL	3	MIL	NL	3	5	4	60	COL	Visit	"Miller Parkæ(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150408	0	Wed	BOS	AL	2	PHI	NL	2	2	4	51	PHI	Home	"Citizens Bank Parkæ(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
WAS11	20150408	0	Wed	NYN	NL	2	WAS	NL	2	1	2	51	WAS	Home	"Nationals Parkæ(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
