ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
BAL12	20150410	0	Fri	TOR	AL	4	BAL	AL	4	12	5	54	TOR	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CHI12	20150410	0	Fri	MIN	AL	4	CHA	AL	4	6	0	54	MIN	"Guaranteed Rate Field(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150410	0	Fri	DET	AL	4	CLE	AL	4	8	4	54	DET	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
NYC21	20150410	0	Fri	BOS	AL	4	NYA	AL	4	6	5	114	BOS	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150410	0	Fri	SEA	AL	4	OAK	AL	5	0	12	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
ARL02	20150410	0	Fri	HOU	AL	4	TEX	AL	5	5	1	54	HOU	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150410	0	Fri	LAN	NL	4	ARI	NL	4	3	4	58	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150410	0	Fri	NYN	NL	4	ATL	NL	4	3	5	51	ATL	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CIN09	20150410	0	Fri	SLN	NL	3	CIN	NL	4	4	5	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
DEN02	20150410	0	Fri	CHN	NL	3	COL	NL	4	1	5	51	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
MIA02	20150410	0	Fri	TBA	AL	4	MIA	NL	4	9	10	58	MIA	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150410	0	Fri	PIT	NL	4	MIL	NL	4	6	2	54	PIT	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150410	0	Fri	WAS	NL	4	PHI	NL	4	1	4	51	PHI	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150410	0	Fri	SFN	NL	5	SDN	NL	5	0	1	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
ANA01	20150411	0	Sat	KCA	AL	5	ANA	AL	5	6	4	54	KCA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BAL12	20150411	0	Sat	TOR	AL	5	BAL	AL	5	1	7	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
CHI12	20150411	0	Sat	MIN	AL	5	CHA	AL	5	4	5	51	CHA	"Guaranteed Rate Field(Chicago, Illinois)"	0.904	1.113	0.953	0.873	0.833	1.234
CLE08	20150411	0	Sat	DET	AL	5	CLE	AL	5	9	6	54	DET	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
NYC21	20150411	0	Sat	BOS	AL	5	NYA	AL	5	8	4	54	BOS	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150411	0	Sat	SEA	AL	5	OAK	AL	6	5	4	66	SEA	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
ARL02	20150411	0	Sat	HOU	AL	5	TEX	AL	6	2	6	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
PHO01	20150411	0	Sat	LAN	NL	5	ARI	NL	5	0	6	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
ATL02	20150411	0	Sat	NYN	NL	5	ATL	NL	5	3	5	51	ATL	"Turner Field(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
