ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
PHO01	20170402	0	Sun	SFN	NL	1	ARI	NL	1	5	6	53	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
STL10	20170402	0	Sun	CHN	NL	1	SLN	NL	1	3	4	53	SLN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
STP01	20170402	0	Sun	NYA	AL	1	TBA	AL	1	3	7	51	TBA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
CIN09	20170403	0	Mon	PHI	NL	1	CIN	NL	1	4	3	54	PHI	"Great American Ball Park�(Cincinnati, Ohio)"	1.02	1.094	0.94	1.007	1.222	1.044
LOS03	20170403	0	Mon	SDN	NL	1	LAN	NL	1	3	14	51	LAN	"Dodger Stadium�(Los Angeles, California)"	0.971	1.005	0.954	0.974	0.6	0.907
MIL06	20170403	0	Mon	COL	NL	1	MIL	NL	1	7	5	54	COL	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170403	0	Mon	ATL	NL	1	NYN	NL	1	0	6	51	NYN	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
WAS11	20170403	0	Mon	MIA	NL	1	WAS	NL	1	2	4	51	WAS	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
BAL12	20170403	0	Mon	TOR	AL	1	BAL	AL	1	2	3	65	BAL	"Oriole Park at Camden Yards�(Baltimore, Maryland)"	1.026	1.236	1.034	0.918	0.706	1.097
BOS07	20170403	0	Mon	PIT	NL	1	BOS	AL	1	3	5	51	BOS	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
HOU03	20170403	0	Mon	SEA	AL	1	HOU	AL	1	0	3	51	HOU	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
MIN04	20170403	0	Mon	KCA	AL	1	MIN	AL	1	1	7	51	MIN	"Target Field�(Minneapolis, Minnesota)"	1.095	1.172	1.088	1.081	1.375	1.118
OAK01	20170403	0	Mon	ANA	AL	1	OAK	AL	1	2	4	51	OAK	"Oakland Coliseum�(Oakland, California)"	1.103	1.056	1.023	1.108	2.308	1.06
ARL02	20170403	0	Mon	CLE	AL	1	TEX	AL	1	8	5	54	CLE	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
PHO01	20170404	0	Tue	SFN	NL	2	ARI	NL	2	8	4	54	SFN	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
LOS03	20170404	0	Tue	SDN	NL	2	LAN	NL	2	4	0	54	SDN	"Dodger Stadium�(Los Angeles, California)"	0.971	1.005	0.954	0.974	0.6	0.907
MIL06	20170404	0	Tue	COL	NL	2	MIL	NL	2	6	5	54	COL	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
STL10	20170404	0	Tue	CHN	NL	2	SLN	NL	2	2	1	54	CHN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
CHI12	20170404	0	Tue	DET	AL	1	CHA	AL	1	6	3	54	DET	"Guaranteed Rate Field�(Chicago, Illinois)"	1.003	1.162	0.927	0.876	0.816	1.066
HOU03	20170404	0	Tue	SEA	AL	2	HOU	AL	2	1	2	51	HOU	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
OAK01	20170404	0	Tue	ANA	AL	2	OAK	AL	2	7	6	54	ANA	"Oakland Coliseum�(Oakland, California)"	1.103	1.056	1.023	1.108	2.308	1.06
STP01	20170404	0	Tue	NYA	AL	2	TBA	AL	2	5	0	54	NYA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
ARL02	20170404	0	Tue	CLE	AL	2	TEX	AL	2	4	3	54	CLE	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
PHO01	20170405	0	Wed	SFN	NL	3	ARI	NL	3	6	8	51	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
CIN09	20170405	0	Wed	PHI	NL	2	CIN	NL	2	0	2	51	CIN	"Great American Ball Park�(Cincinnati, Ohio)"	1.02	1.094	0.94	1.007	1.222	1.044
LOS03	20170405	0	Wed	SDN	NL	3	LAN	NL	3	1	3	51	LAN	"Dodger Stadium�(Los Angeles, California)"	0.971	1.005	0.954	0.974	0.6	0.907
MIL06	20170405	0	Wed	COL	NL	3	MIL	NL	3	1	6	51	MIL	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170405	0	Wed	ATL	NL	2	NYN	NL	2	3	1	72	ATL	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
WAS11	20170405	0	Wed	MIA	NL	2	WAS	NL	2	4	6	51	WAS	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
BAL12	20170405	0	Wed	TOR	AL	2	BAL	AL	2	1	3	51	BAL	"Oriole Park at Camden Yards�(Baltimore, Maryland)"	1.026	1.236	1.034	0.918	0.706	1.097
BOS07	20170405	0	Wed	PIT	NL	2	BOS	AL	2	0	3	70	BOS	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
