ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
HOU03	20170405	0	Wed	SEA	AL	3	HOU	AL	3	3	5	77	HOU	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
MIN04	20170405	0	Wed	KCA	AL	2	MIN	AL	2	1	9	51	MIN	"Target Field�(Minneapolis, Minnesota)"	1.095	1.172	1.088	1.081	1.375	1.118
OAK01	20170405	0	Wed	ANA	AL	3	OAK	AL	3	5	0	54	ANA	"Oakland Coliseum�(Oakland, California)"	1.103	1.056	1.023	1.108	2.308	1.06
STP01	20170405	0	Wed	NYA	AL	3	TBA	AL	3	1	4	51	TBA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
ARL02	20170405	0	Wed	CLE	AL	3	TEX	AL	3	9	6	54	CLE	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
PHO01	20170406	0	Thu	SFN	NL	4	ARI	NL	4	3	9	51	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
CIN09	20170406	0	Thu	PHI	NL	3	CIN	NL	3	4	7	51	CIN	"Great American Ball Park�(Cincinnati, Ohio)"	1.02	1.094	0.94	1.007	1.222	1.044
LOS03	20170406	0	Thu	SDN	NL	4	LAN	NL	4	2	10	51	LAN	"Dodger Stadium�(Los Angeles, California)"	0.971	1.005	0.954	0.974	0.6	0.907
MIL06	20170406	0	Thu	COL	NL	4	MIL	NL	4	2	1	54	COL	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170406	0	Thu	ATL	NL	3	NYN	NL	3	2	6	51	NYN	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
STL10	20170406	0	Thu	CHN	NL	3	SLN	NL	3	6	4	54	CHN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
WAS11	20170406	0	Thu	MIA	NL	3	WAS	NL	3	4	3	60	MIA	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
CHI12	20170406	0	Thu	DET	AL	2	CHA	AL	2	2	11	51	CHA	"Guaranteed Rate Field�(Chicago, Illinois)"	1.003	1.162	0.927	0.876	0.816	1.066
HOU03	20170406	0	Thu	SEA	AL	4	HOU	AL	4	4	2	54	SEA	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
MIN04	20170406	0	Thu	KCA	AL	3	MIN	AL	3	3	5	51	MIN	"Target Field�(Minneapolis, Minnesota)"	1.095	1.172	1.088	1.081	1.375	1.118
OAK01	20170406	0	Thu	ANA	AL	4	OAK	AL	4	1	5	51	OAK	"Oakland Coliseum�(Oakland, California)"	1.103	1.056	1.023	1.108	2.308	1.06
STP01	20170406	0	Thu	TOR	AL	3	TBA	AL	4	5	2	54	TOR	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
PHO01	20170407	0	Fri	CLE	AL	4	ARI	NL	5	3	7	51	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
DEN02	20170407	0	Fri	LAN	NL	5	COL	NL	5	1	2	51	COL	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
MIL06	20170407	0	Fri	CHN	NL	4	MIL	NL	5	1	2	64	MIL	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170407	0	Fri	MIA	NL	4	NYN	NL	4	7	2	54	MIA	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
PHI13	20170407	0	Fri	WAS	NL	4	PHI	NL	4	7	6	54	WAS	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170407	0	Fri	ATL	NL	4	PIT	NL	3	4	5	51	PIT	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SAN02	20170407	0	Fri	SFN	NL	5	SDN	NL	5	6	7	51	SDN	"Petco Park�(San Diego, California)"	0.828	0.781	0.887	0.859	1	0.98
STL10	20170407	0	Fri	CIN	NL	4	SLN	NL	4	2	0	54	CIN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
ANA01	20170407	0	Fri	SEA	AL	5	ANA	AL	5	1	5	51	ANA	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BAL12	20170407	0	Fri	NYA	AL	4	BAL	AL	3	5	6	51	BAL	"Oriole Park at Camden Yards�(Baltimore, Maryland)"	1.026	1.236	1.034	0.918	0.706	1.097
CHI12	20170407	0	Fri	MIN	AL	4	CHA	AL	3	3	1	54	MIN	"Guaranteed Rate Field�(Chicago, Illinois)"	1.003	1.162	0.927	0.876	0.816	1.066
DET05	20170407	0	Fri	BOS	AL	3	DET	AL	3	5	6	51	DET	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
HOU03	20170407	0	Fri	KCA	AL	4	HOU	AL	5	5	1	54	KCA	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
STP01	20170407	0	Fri	TOR	AL	4	TBA	AL	5	8	10	51	TBA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
ARL02	20170407	0	Fri	OAK	AL	5	TEX	AL	4	5	10	51	TEX	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
PHO01	20170408	0	Sat	CLE	AL	5	ARI	NL	6	2	11	51	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
DEN02	20170408	0	Sat	LAN	NL	6	COL	NL	6	2	4	51	COL	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
MIL06	20170408	0	Sat	CHN	NL	5	MIL	NL	6	11	6	54	CHN	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170408	0	Sat	MIA	NL	5	NYN	NL	5	8	1	54	MIA	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
PHI13	20170408	0	Sat	WAS	NL	5	PHI	NL	5	3	17	51	PHI	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170408	0	Sat	ATL	NL	5	PIT	NL	4	4	6	51	PIT	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SAN02	20170408	0	Sat	SFN	NL	6	SDN	NL	6	1	2	51	SDN	"Petco Park�(San Diego, California)"	0.828	0.781	0.887	0.859	1	0.98
STL10	20170408	0	Sat	CIN	NL	5	SLN	NL	5	4	10	51	SLN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
ANA01	20170408	0	Sat	SEA	AL	6	ANA	AL	6	4	5	51	ANA	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BAL12	20170408	0	Sat	NYA	AL	5	BAL	AL	4	4	5	51	BAL	"Oriole Park at Camden Yards�(Baltimore, Maryland)"	1.026	1.236	1.034	0.918	0.706	1.097
CHI12	20170408	0	Sat	MIN	AL	5	CHA	AL	4	2	6	51	CHA	"Guaranteed Rate Field�(Chicago, Illinois)"	1.003	1.162	0.927	0.876	0.816	1.066
DET05	20170408	0	Sat	BOS	AL	4	DET	AL	4	1	4	51	DET	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
HOU03	20170408	0	Sat	KCA	AL	5	HOU	AL	6	7	3	54	KCA	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
STP01	20170408	0	Sat	TOR	AL	5	TBA	AL	6	2	3	65	TBA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
ARL02	20170408	0	Sat	OAK	AL	6	TEX	AL	5	6	1	54	OAK	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
PHO01	20170409	0	Sun	CLE	AL	6	ARI	NL	7	2	3	51	ARI	"Chase Field�(Phoenix, Arizona)"	1.202	1.222	1.088	1.351	1.355	1.026
DEN02	20170409	0	Sun	LAN	NL	7	COL	NL	7	10	6	54	LAN	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
MIL06	20170409	0	Sun	CHN	NL	6	MIL	NL	7	7	4	54	CHN	"Miller Park�(Milwaukee, Wisconsin)"	1.094	1.049	1.033	1.155	0.763	1.032
NYC20	20170409	0	Sun	MIA	NL	6	NYN	NL	6	2	5	51	NYN	"Citi Field�(New York, New York)"	0.858	0.798	0.88	0.899	0.7	0.986
PHI13	20170409	0	Sun	WAS	NL	6	PHI	NL	6	3	4	53	PHI	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170409	0	Sun	ATL	NL	6	PIT	NL	5	5	6	57	PIT	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SAN02	20170409	0	Sun	SFN	NL	7	SDN	NL	7	5	3	54	SFN	"Petco Park�(San Diego, California)"	0.828	0.781	0.887	0.859	1	0.98
STL10	20170409	0	Sun	CIN	NL	6	SLN	NL	6	8	0	54	CIN	"Busch Stadium�(St. Louis, Missouri)"	0.889	0.849	0.974	0.957	0.967	1
ANA01	20170409	0	Sun	SEA	AL	7	ANA	AL	7	9	10	53	ANA	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BAL12	20170409	0	Sun	NYA	AL	6	BAL	AL	5	7	3	54	NYA	"Oriole Park at Camden Yards�(Baltimore, Maryland)"	1.026	1.236	1.034	0.918	0.706	1.097
CHI12	20170409	0	Sun	MIN	AL	6	CHA	AL	5	4	1	54	MIN	"Guaranteed Rate Field�(Chicago, Illinois)"	1.003	1.162	0.927	0.876	0.816	1.066
DET05	20170409	0	Sun	BOS	AL	5	DET	AL	5	7	5	54	BOS	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
HOU03	20170409	0	Sun	KCA	AL	6	HOU	AL	7	4	5	71	HOU	"Minute Maid Park�(Houston, Texas)"	0.826	1.009	0.9	0.81	0.654	0.927
STP01	20170409	0	Sun	TOR	AL	6	TBA	AL	7	2	7	51	TBA	"Tropicana Field�(St. Petersburg, Florida)"	0.902	0.888	0.937	0.837	1.13	0.992
ARL02	20170409	0	Sun	OAK	AL	7	TEX	AL	6	1	8	51	TEX	"Globe Life Park in Arlington�(Arlington, Texas)"	1.215	1.127	1.135	1.185	1	1.184
CHI11	20170410	0	Mon	LAN	NL	8	CHN	NL	7	2	3	53	CHN	"Wrigley Field�(Chicago, Illinois)"	1.131	1.005	1.049	1.104	1.3	1.074
DEN02	20170410	0	Mon	SDN	NL	8	COL	NL	8	5	3	54	SDN	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
PHI13	20170410	0	Mon	NYN	NL	7	PHI	NL	7	4	3	54	NYN	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170410	0	Mon	CIN	NL	7	PIT	NL	6	7	1	54	CIN	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SFO03	20170410	0	Mon	ARI	NL	8	SFN	NL	8	1	4	51	SFN	"AT&T Park�(San Francisco, California)"	0.85	0.615	0.968	1.003	1.048	0.938
WAS11	20170410	0	Mon	SLN	NL	7	WAS	NL	7	6	14	51	WAS	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
DET05	20170410	0	Mon	BOS	AL	6	DET	AL	6	1	2	51	DET	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
KAN06	20170410	0	Mon	OAK	AL	8	KCA	AL	7	2	0	54	OAK	"Kauffman Stadium�(Kansas City, Missouri)"	0.926	0.809	0.966	1.078	1.207	0.98
NYC21	20170410	0	Mon	TBA	AL	8	NYA	AL	7	1	8	51	NYA	"Yankee Stadium�(New York, New York)"	1.019	1.279	0.935	0.811	0.75	0.979
SEA03	20170410	0	Mon	HOU	AL	8	SEA	AL	8	0	6	51	SEA	"Safeco Field�(Seattle, Washington)"	0.917	0.925	0.946	0.885	1.071	1.053
DEN02	20170411	0	Tue	SDN	NL	9	COL	NL	9	2	3	51	COL	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
MIA02	20170411	0	Tue	ATL	NL	7	MIA	NL	7	4	8	51	MIA	"Marlins Park�(Miami, Florida)"	0.848	0.835	0.907	0.716	1.142	1.041
PHI13	20170411	0	Tue	NYN	NL	8	PHI	NL	8	14	4	54	NYN	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170411	0	Tue	CIN	NL	8	PIT	NL	7	6	2	54	CIN	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SFO03	20170411	0	Tue	ARI	NL	9	SFN	NL	9	4	3	54	ARI	"AT&T Park�(San Francisco, California)"	0.85	0.615	0.968	1.003	1.048	0.938
WAS11	20170411	0	Tue	SLN	NL	8	WAS	NL	8	3	8	51	WAS	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
ANA01	20170411	0	Tue	TEX	AL	7	ANA	AL	8	5	6	58	ANA	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BOS07	20170411	0	Tue	BAL	AL	6	BOS	AL	7	1	8	51	BOS	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
CLE08	20170411	0	Tue	CHA	AL	6	CLE	AL	7	1	2	59	CLE	"Progressive Field�(Cleveland, Ohio)"	0.971	0.974	0.988	1.017	0.64	0.931
DET05	20170411	0	Tue	MIN	AL	7	DET	AL	7	1	2	51	DET	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
SEA03	20170411	0	Tue	HOU	AL	9	SEA	AL	9	7	5	54	HOU	"Safeco Field�(Seattle, Washington)"	0.917	0.925	0.946	0.885	1.071	1.053
TOR02	20170411	0	Tue	MIL	NL	8	TOR	AL	7	4	3	54	MIL	"Rogers Centre�(Toronto, Ontario)"	0.946	0.923	0.974	1.075	0.937	0.894
CHI11	20170412	0	Wed	LAN	NL	9	CHN	NL	8	2	0	54	LAN	"Wrigley Field�(Chicago, Illinois)"	1.131	1.005	1.049	1.104	1.3	1.074
DEN02	20170412	0	Wed	SDN	NL	10	COL	NL	10	6	0	54	SDN	"Coors Field�(Denver, Colorado)"	1.332	1.195	1.152	1.175	2.259	1.085
MIA02	20170412	0	Wed	ATL	NL	8	MIA	NL	8	5	4	54	ATL	"Marlins Park�(Miami, Florida)"	0.848	0.835	0.907	0.716	1.142	1.041
PHI13	20170412	0	Wed	NYN	NL	9	PHI	NL	9	5	4	54	NYN	"Citizens Bank Park�(Philadelphia, Pennsylvania)"	1.073	1.409	0.999	0.943	1.065	1.067
PIT08	20170412	0	Wed	CIN	NL	9	PIT	NL	8	9	2	54	CIN	"PNC Park�(Pittsburgh, Pennsylvania)"	0.948	0.86	1.043	1.084	0.634	0.958
SFO03	20170412	0	Wed	ARI	NL	10	SFN	NL	10	2	6	51	SFN	"AT&T Park�(San Francisco, California)"	0.85	0.615	0.968	1.003	1.048	0.938
WAS11	20170412	0	Wed	SLN	NL	9	WAS	NL	9	6	1	54	SLN	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
ANA01	20170412	0	Wed	TEX	AL	8	ANA	AL	9	8	3	54	TEX	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BOS07	20170412	0	Wed	BAL	AL	7	BOS	AL	8	12	5	54	BAL	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
CLE08	20170412	0	Wed	CHA	AL	7	CLE	AL	8	2	1	54	CHA	"Progressive Field�(Cleveland, Ohio)"	0.971	0.974	0.988	1.017	0.64	0.931
DET05	20170412	0	Wed	MIN	AL	8	DET	AL	8	3	5	51	DET	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
KAN06	20170412	0	Wed	OAK	AL	9	KCA	AL	8	8	3	54	OAK	"Kauffman Stadium�(Kansas City, Missouri)"	0.926	0.809	0.966	1.078	1.207	0.98
NYC21	20170412	0	Wed	TBA	AL	9	NYA	AL	8	4	8	51	NYA	"Yankee Stadium�(New York, New York)"	1.019	1.279	0.935	0.811	0.75	0.979
SEA03	20170412	0	Wed	HOU	AL	10	SEA	AL	10	10	5	54	HOU	"Safeco Field�(Seattle, Washington)"	0.917	0.925	0.946	0.885	1.071	1.053
TOR02	20170412	0	Wed	MIL	NL	9	TOR	AL	8	2	0	54	MIL	"Rogers Centre�(Toronto, Ontario)"	0.946	0.923	0.974	1.075	0.937	0.894
CHI11	20170413	0	Thu	LAN	NL	10	CHN	NL	9	0	4	51	CHN	"Wrigley Field�(Chicago, Illinois)"	1.131	1.005	1.049	1.104	1.3	1.074
CIN09	20170413	0	Thu	MIL	NL	10	CIN	NL	10	5	1	54	MIL	"Great American Ball Park�(Cincinnati, Ohio)"	1.02	1.094	0.94	1.007	1.222	1.044
MIA02	20170413	0	Thu	NYN	NL	10	MIA	NL	9	9	8	96	NYN	"Marlins Park�(Miami, Florida)"	0.848	0.835	0.907	0.716	1.142	1.041
SFO03	20170413	0	Thu	COL	NL	11	SFN	NL	11	3	1	54	COL	"AT&T Park�(San Francisco, California)"	0.85	0.615	0.968	1.003	1.048	0.938
ANA01	20170413	0	Thu	TEX	AL	9	ANA	AL	10	8	3	54	TEX	"Angel Stadium of Anaheim�(Anaheim, California)"	0.949	0.971	0.998	0.876	0.722	0.815
BOS07	20170413	0	Thu	PIT	NL	9	BOS	AL	9	3	4	51	BOS	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
CLE08	20170413	0	Thu	CHA	AL	8	CLE	AL	9	10	4	54	CHA	"Progressive Field�(Cleveland, Ohio)"	0.971	0.974	0.988	1.017	0.64	0.931
DET05	20170413	0	Thu	MIN	AL	9	DET	AL	9	11	5	54	MIN	"Comerica Park�(Detroit, Michigan)"	1.169	1.154	1.119	1.129	1.333	0.987
KAN06	20170413	0	Thu	OAK	AL	10	KCA	AL	9	1	3	51	KCA	"Kauffman Stadium�(Kansas City, Missouri)"	0.926	0.809	0.966	1.078	1.207	0.98
NYC21	20170413	0	Thu	TBA	AL	10	NYA	AL	9	2	3	51	NYA	"Yankee Stadium�(New York, New York)"	1.019	1.279	0.935	0.811	0.75	0.979
TOR02	20170413	0	Thu	BAL	AL	8	TOR	AL	9	2	1	54	BAL	"Rogers Centre�(Toronto, Ontario)"	0.946	0.923	0.974	1.075	0.937	0.894
ATL03	20170414	0	Fri	SDN	NL	11	ATL	NL	9	2	5	51	ATL	"SunTrust Park�(Cumberland, GA)"	0.976	0.951	1.019	1.057	0.722	0.91
CHI11	20170414	0	Fri	PIT	NL	10	CHN	NL	10	4	2	54	PIT	"Wrigley Field�(Chicago, Illinois)"	1.131	1.005	1.049	1.104	1.3	1.074
CIN09	20170414	0	Fri	MIL	NL	11	CIN	NL	11	10	4	54	MIL	"Great American Ball Park�(Cincinnati, Ohio)"	1.02	1.094	0.94	1.007	1.222	1.044
LOS03	20170414	0	Fri	ARI	NL	11	LAN	NL	11	1	7	51	LAN	"Dodger Stadium�(Los Angeles, California)"	0.971	1.005	0.954	0.974	0.6	0.907
MIA02	20170414	0	Fri	NYN	NL	11	MIA	NL	10	2	3	53	MIA	"Marlins Park�(Miami, Florida)"	0.848	0.835	0.907	0.716	1.142	1.041
SFO03	20170414	0	Fri	COL	NL	12	SFN	NL	12	2	8	51	SFN	"AT&T Park�(San Francisco, California)"	0.85	0.615	0.968	1.003	1.048	0.938
WAS11	20170414	0	Fri	PHI	NL	10	WAS	NL	10	2	3	57	WAS	"Nationals Park�(Washington, D.C.)"	1.057	1.04	1.11	1.075	0.636	0.964
BOS07	20170414	0	Fri	TBA	AL	11	BOS	AL	10	10	5	54	TBA	"Fenway Park�(Boston, Massachusetts)"	1.026	0.824	1.103	1.156	0.75	0.958
CLE08	20170414	0	Fri	DET	AL	10	CLE	AL	10	7	6	54	DET	"Progressive Field�(Cleveland, Ohio)"	0.971	0.974	0.988	1.017	0.64	0.931
KAN06	20170414	0	Fri	ANA	AL	11	KCA	AL	10	1	7	51	KCA	"Kauffman Stadium�(Kansas City, Missouri)"	0.926	0.809	0.966	1.078	1.207	0.98
MIN04	20170414	0	Fri	CHA	AL	9	MIN	AL	10	2	1	54	CHA	"Target Field�(Minneapolis, Minnesota)"	1.095	1.172	1.088	1.081	1.375	1.118
NYC21	20170414	0	Fri	SLN	NL	10	NYA	AL	10	3	4	51	NYA	"Yankee Stadium�(New York, New York)"	1.019	1.279	0.935	0.811	0.75	0.979
OAK01	20170414	0	Fri	HOU	AL	11	OAK	AL	11	7	2	54	HOU	"Oakland Coliseum�(Oakland, California)"	1.103	1.056	1.023	1.108	2.308	1.06
SEA03	20170414	0	Fri	TEX	AL	10	SEA	AL	11	1	2	51	SEA	"Safeco Field�(Seattle, Washington)"	0.917	0.925	0.946	0.885	1.071	1.053
