index,Date,Visiting_Team,Visiting_League,Visiting_Team_Game,Home_Team,Home_League,Home_Team_Game,Visiting_Score,Home_Score,Length_in_Outs,Park_Code,Visit_Bats,Visit_Hits,Visit_Doubles,Visit_Triples,Visit_Homeruns,Visit_RBI,Visit_Putouts,Visit_Assist,Visit_Errors,Visit_Passed_Balls,Visit_Double_Plays,Visit_Tripple_Plays,Home_bats,Home_Hits,Home_Doubles,Home_Triples,Home_Homeruns,Home_RBI,Home_Putouts,Home_Assist,Home_Errors,Home_Passed_Balls,Home_Double_Plays,Home_Triple_Plays,bln_home_win,diff_hr,diff_hits,diff_doubles,diff_triples,diff_rbi,diff_putouts,diff_errors,diff_assist,diff_at_bats
25,20170405,SDN,NL,3,LAN,NL,3,1.0,3.0,51,LOS03,27,3,1,0,1,1,24,8,1,0,1,0,30,6,3,0,1,2,27,11,0,0,1,0,1,2,3,2,0,1,3,-1,3,3
26,20170405,COL,NL,3,MIL,NL,3,1.0,6.0,51,MIL06,29,5,2,0,0,1,24,14,0,0,2,0,30,10,1,1,3,6,27,14,0,0,1,0,1,5,5,-1,1,5,3,0,0,1
27,20170405,ATL,NL,2,NYN,NL,2,3.0,1.0,72,NYC20,43,8,4,1,0,3,36,5,0,0,1,0,40,5,1,0,1,1,36,15,1,0,2,0,0,-2,-3,-3,-1,-2,0,1,10,-3
28,20170405,MIA,NL,2,WAS,NL,2,4.0,6.0,51,WAS11,33,9,1,0,1,4,24,11,0,1,1,0,31,11,3,0,1,6,27,12,0,0,1,0,1,2,2,2,0,2,3,0,1,-2
29,20170405,TOR,AL,2,BAL,AL,2,1.0,3.0,51,BAL12,33,7,1,0,0,1,24,8,1,0,0,0,29,5,0,0,2,3,27,8,0,0,1,0,1,2,-2,-1,0,2,3,-1,0,-4
30,20170405,PIT,NL,2,BOS,AL,2,0.0,3.0,70,BOS07,41,5,0,0,0,0,34,14,0,0,2,0,39,8,1,0,1,3,36,13,1,0,1,0,1,3,3,1,0,3,2,1,-1,-2
31,20170405,SEA,AL,3,HOU,AL,3,3.0,5.0,77,HOU03,45,6,2,0,1,3,38,16,1,0,2,0,51,13,4,0,1,5,39,9,0,0,0,0,1,2,7,2,0,2,1,-1,-7,6
32,20170405,KCA,AL,2,MIN,AL,2,1.0,9.0,51,MIN04,29,4,0,0,0,1,24,3,0,0,1,0,31,8,0,1,1,9,27,8,0,0,2,0,1,8,4,0,1,8,3,0,5,2
33,20170405,ANA,AL,3,OAK,AL,3,5.0,0.0,54,OAK01,37,13,3,0,0,5,27,11,0,0,0,0,33,6,1,0,0,0,27,9,0,0,2,0,0,-5,-7,-2,0,-5,0,0,-2,-4
34,20170405,NYA,AL,3,TBA,AL,3,1.0,4.0,51,STP01,33,8,1,0,1,1,24,9,0,1,0,0,31,8,0,0,1,4,27,16,0,1,2,0,1,3,0,-1,0,3,3,0,7,-2
35,20170405,CLE,AL,3,TEX,AL,3,9.0,6.0,54,ARL02,34,9,0,0,2,9,27,11,1,0,1,0,31,7,0,0,2,4,27,11,1,0,0,0,0,-3,-2,0,0,-5,0,0,0,-3
36,20170406,SFN,NL,4,ARI,NL,4,3.0,9.0,51,PHO01,31,4,2,0,1,3,24,8,0,0,1,0,34,11,2,0,3,9,27,12,1,1,0,0,1,6,7,0,0,6,3,1,4,3
37,20170406,PHI,NL,3,CIN,NL,3,4.0,7.0,51,CIN09,30,6,1,0,2,3,24,8,0,0,1,0,34,13,2,0,2,7,27,9,0,0,2,0,1,3,7,1,0,4,3,0,1,4
38,20170406,SDN,NL,4,LAN,NL,4,2.0,10.0,51,LOS03,33,6,2,0,1,2,24,11,0,1,0,0,32,8,2,0,2,8,27,8,0,0,0,0,1,8,2,0,0,6,3,0,-3,-1
39,20170406,COL,NL,4,MIL,NL,4,2.0,1.0,54,MIL06,30,5,2,0,2,2,27,7,0,0,2,0,30,5,1,0,1,1,27,13,0,1,0,0,0,-1,0,-1,0,-1,0,0,6,0
