Date	Visiting Team	Visiting League	Visiting Team Game	Home Team	Home League	Home Team Game	Visiting Score	Home Score	Length in Outs	Park Code	Visit Bats	Visit Hits	Visit Doubles	Visit Triples	Visit Homeruns	Visit RBI	Visit Putouts	Visit Assist	Visit Errors	Visit Passed Balls	Visit Double Plays	Visit Tripple Plays	Home bats	Home Hits	Home Doubles	Home Triples	Home Homeruns	Home RBI	Home Putouts	Home Assist	Home Errors	Home Passed Balls	Home Double Plays	Home Triple Plays
20150408	NYN	NL	2	WAS	NL	2	1	2	51	WAS11	32	6	0	0	0	1	24	9	0	0	0	0	31	7	3	0	1	2	27	6	0	0	1	0
20150409	MIN	AL	3	DET	AL	3	1	7	51	DET05	31	5	1	0	0	0	24	4	1	0	1	0	33	10	1	1	1	6	27	7	1	0	1	0
20150409	CLE	AL	3	HOU	AL	3	5	1	54	HOU03	36	11	3	1	2	5	27	4	0	0	0	0	28	1	0	0	1	1	27	8	1	0	2	0
20150409	CHA	AL	3	KCA	AL	3	1	4	51	KAN06	30	4	2	0	0	1	24	10	1	0	0	0	31	8	3	1	1	4	27	11	0	0	1	0
20150409	TOR	AL	3	NYA	AL	3	6	3	54	NYC21	35	9	0	0	1	5	27	9	0	0	0	0	32	7	3	0	2	3	27	7	1	0	1	0
20150409	TEX	AL	4	OAK	AL	4	10	1	54	OAK01	38	12	1	0	4	9	27	8	0	0	2	0	31	6	1	0	0	1	27	12	3	0	2	0
20150409	PIT	NL	3	CIN	NL	3	2	3	52	CIN09	31	6	1	0	1	2	25	11	1	0	1	0	31	6	1	0	1	2	27	4	0	0	1	0
20150409	BOS	AL	3	PHI	NL	3	6	2	54	PHI13	39	11	0	1	0	6	27	10	0	0	0	0	32	5	0	0	0	1	27	10	3	1	1	0
20150409	SFN	NL	4	SDN	NL	4	1	0	72	SAN02	39	6	0	1	0	1	36	21	2	0	4	0	41	7	1	0	0	0	36	16	1	0	3	0
20150409	NYN	NL	3	WAS	NL	3	6	3	54	WAS11	36	10	0	0	0	6	27	7	1	0	0	0	34	7	3	0	0	3	27	8	1	0	2	0
20150410	KCA	AL	4	ANA	AL	4	4	2	54	ANA01	35	9	1	0	1	4	27	10	0	0	1	0	33	7	2	0	1	2	27	8	2	0	0	0
20150410	TOR	AL	4	BAL	AL	4	12	5	54	BAL12	39	16	8	0	0	12	27	13	1	0	3	0	36	13	3	0	2	4	27	10	1	0	0	0
20150410	MIN	AL	4	CHA	AL	4	6	0	54	CHI12	36	10	1	0	1	5	27	10	0	0	1	0	28	3	2	0	0	0	27	9	1	0	0	0
20150410	DET	AL	4	CLE	AL	4	8	4	54	CLE08	43	18	1	1	1	7	27	7	0	0	2	0	34	10	2	0	0	4	27	9	1	0	1	0
20150410	BOS	AL	4	NYA	AL	4	6	5	114	NYC21	71	18	1	0	1	6	57	22	1	0	1	0	67	14	4	0	2	5	57	19	1	1	2	0
20150410	SEA	AL	4	OAK	AL	5	0	12	51	OAK01	29	3	0	0	0	0	24	11	1	0	0	0	40	16	5	0	1	12	27	8	0	0	1	0
20150410	HOU	AL	4	TEX	AL	5	5	1	54	ARL02	34	10	2	0	2	5	27	15	0	1	0	0	32	6	3	0	0	1	27	10	2	0	2	0
20150410	LAN	NL	4	ARI	NL	4	3	4	58	PHO01	35	8	1	0	1	3	28	10	1	0	0	0	35	7	0	0	1	4	30	16	0	0	2	0
20150410	NYN	NL	4	ATL	NL	4	3	5	51	ATL02	33	8	0	0	2	3	24	12	2	0	0	0	35	9	3	0	1	4	27	10	0	0	2	0
20150410	SLN	NL	3	CIN	NL	4	4	5	51	CIN09	36	10	2	0	1	4	24	7	0	0	1	0	26	4	0	0	2	5	27	12	0	0	0	0
20150410	CHN	NL	3	COL	NL	4	1	5	51	DEN02	30	5	0	0	0	1	24	8	1	0	0	0	34	11	2	0	1	5	27	12	0	0	1	0
20150410	TBA	AL	4	MIA	NL	4	9	10	58	MIA02	38	10	2	0	1	9	28	17	0	0	1	0	40	13	4	0	0	9	30	8	0	0	1	0
20150410	PIT	NL	4	MIL	NL	4	6	2	54	MIL06	33	10	4	0	2	6	27	12	0	0	0	0	35	9	4	1	0	2	27	7	0	0	0	0
20150410	WAS	NL	4	PHI	NL	4	1	4	51	PHI13	32	6	1	0	1	1	24	17	0	0	2	0	27	7	2	0	0	4	27	11	0	0	0	0
20150410	SFN	NL	5	SDN	NL	5	0	1	51	SAN02	27	5	0	0	0	0	24	10	0	0	3	0	26	5	1	0	0	1	27	14	0	0	4	0
20150411	KCA	AL	5	ANA	AL	5	6	4	54	ANA01	36	12	1	0	2	6	27	11	0	0	0	0	32	6	1	0	1	4	27	10	0	0	1	0
20150411	TOR	AL	5	BAL	AL	5	1	7	51	BAL12	30	3	1	0	0	1	24	11	1	0	2	0	32	9	0	0	3	6	27	15	0	0	0	0
20150411	MIN	AL	5	CHA	AL	5	4	5	51	CHI12	35	8	2	1	0	4	24	13	1	0	1	0	33	10	2	0	2	5	27	11	2	0	0	0
20150411	DET	AL	5	CLE	AL	5	9	6	54	CLE08	39	14	1	0	1	8	27	7	1	0	1	0	34	8	2	0	0	6	27	11	0	0	1	0
20150411	BOS	AL	5	NYA	AL	5	8	4	54	NYC21	37	9	3	0	0	8	27	7	0	0	0	0	31	5	1	0	1	4	27	17	3	1	2	0
20150411	SEA	AL	5	OAK	AL	6	5	4	66	OAK01	42	10	1	0	2	5	33	15	0	0	0	0	42	12	3	0	0	4	33	15	1	0	1	0
20150411	HOU	AL	5	TEX	AL	6	2	6	51	ARL02	38	11	2	0	1	2	24	15	3	0	0	0	33	9	4	1	0	4	27	5	0	0	0	0
20150411	LAN	NL	5	ARI	NL	5	0	6	51	PHO01	28	2	1	0	0	0	24	11	1	0	1	0	32	10	0	0	1	6	27	14	0	0	1	0
20150411	NYN	NL	5	ATL	NL	5	3	5	51	ATL02	28	3	1	0	0	2	24	12	0	0	1	0	31	9	3	1	1	5	27	11	1	0	2	0
20150411	SLN	NL	4	CIN	NL	5	4	1	54	CIN09	33	8	0	0	1	4	27	12	1	0	0	0	32	6	1	0	1	1	27	10	2	0	2	0
20150411	CHN	NL	4	COL	NL	5	9	5	54	DEN02	36	12	1	2	3	9	27	11	1	0	2	0	38	12	3	0	1	5	27	9	1	0	1	0
20150411	TBA	AL	5	MIA	NL	5	2	0	54	MIA02	32	6	2	1	1	2	27	14	0	0	0	0	28	2	1	0	0	0	27	14	0	0	1	0
