RK	TEAM	GP	AB	R	H	2B	3B	HR	TB	RBI	AVG	OBP	SLG	OPS
1	Boston	162	5670	878	1598	343	25	208	2615	836	.282	.348	.461	.810
2	Colorado	162	5614	845	1544	318	47	204	2568	805	.275	.336	.457	.794
3	Chicago Cubs	162	5503	808	1409	293	30	199	2359	767	.256	.343	.429	.772
4	St. Louis	162	5548	779	1416	300	32	225	2455	745	.255	.325	.443	.768
5	Cleveland	161	5484	777	1435	308	29	185	2356	733	.262	.329	.430	.759
6	Seattle	162	5583	768	1446	251	17	223	2400	735	.259	.326	.430	.756
7	Texas	162	5525	765	1446	257	23	215	2394	746	.262	.322	.433	.755
8	Washington	162	5490	763	1403	268	29	203	2338	735	.256	.326	.426	.751
9	Toronto	162	5479	759	1358	276	18	221	2333	728	.248	.330	.426	.755
10	Arizona	162	5665	752	1479	285	56	190	2446	709	.261	.320	.432	.752
11	Detroit	161	5526	750	1476	252	30	211	2421	719	.267	.331	.438	.769
12	Baltimore	162	5524	744	1413	265	6	253	2449	710	.256	.317	.443	.760
13	Pittsburgh	162	5542	729	1426	277	32	153	2226	696	.257	.332	.402	.734
14	LA Dodgers	162	5518	725	1375	272	21	189	2256	680	.249	.319	.409	.728
15	Houston	162	5545	724	1367	291	29	198	2310	689	.247	.319	.417	.735
16	Minnesota	162	5618	722	1409	288	35	200	2367	690	.251	.316	.421	.738
17	LA Angels	162	5431	717	1410	279	20	156	2197	686	.260	.322	.405	.726
18	Cincinnati	162	5487	716	1403	277	33	164	2238	678	.256	.316	.408	.724
19	San Francisco	162	5565	715	1437	280	54	130	2215	675	.258	.329	.398	.728
20	Chicago Sox	162	5550	686	1428	277	33	168	2275	656	.257	.317	.410	.727
21	San Diego	162	5419	686	1275	257	26	177	2115	654	.235	.299	.390	.689
22	NY Yankees	162	5458	680	1377	245	20	183	2211	647	.252	.314	.405	.720
23	Kansas City	162	5552	675	1450	264	33	147	2221	640	.261	.312	.400	.712
24	Tampa Bay	162	5481	672	1333	288	32	216	2333	647	.243	.307	.426	.733
25	Milwaukee	162	5330	671	1299	249	19	194	2168	641	.244	.322	.407	.729
26	NY Mets	162	5459	671	1342	240	19	218	2274	649	.246	.316	.417	.733
27	Miami	161	5547	655	1460	259	42	128	2187	626	.263	.322	.394	.716
28	Oakland	162	5500	653	1352	270	21	169	2171	634	.246	.304	.395	.699
29	Atlanta	161	5514	649	1404	295	27	122	2119	615	.255	.321	.384	.705
30	Philadelphia	162	5434	610	1306	231	35	161	2090	575	.240	.301	.385	.685
